product_title,average_rating,total_reviews,review_author,review_rating,review_date,review_text
Apple AirPods with Charging Case (Wired),4.8,26820,Austin McKinney,1,2-May-21,Defective since day 1. They literally freeze apps up and make the app crash when there connected. Strongly believe I got a NON AUTHENTIC pair. Sad cause they were a gift and by the time I was told they were defective it was outside return window.
Apple AirPods with Charging Case (Wired),4.8,26820,Verónica Saldaña,1,21-Apr-21,No se porque pero la gente dice que no me escuchan no se si cabe la posibilidad de que estén defectuosos.
Apple AirPods with Charging Case (Wired),4.8,26820,Winston Anderson,4,1-May-21,Works great
Apple AirPods with Charging Case (Wired),4.8,26820,Jeremy Ma,5,25-May-21,The quality is very good and the price is very low. My son likes it very much
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,19-Apr-21,Love them. Fit perfectly. No sweating
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,22-May-21,My wife really like it
Apple AirPods with Charging Case (Wired),4.8,26820,Imarian,5,28-May-21,Ian gon lie it gotta lil black mark on it but I scratched it off. Other then tht the all good.
Apple AirPods with Charging Case (Wired),4.8,26820,Larry C. Twichell Jr.,5,17-May-21,I love the sound and battery life! Works well with the iPhone 12 Pro Max
Apple AirPods with Charging Case (Wired),4.8,26820,Germanus,5,21-May-21,The right AirPods is not working properly.
Apple AirPods with Charging Case (Wired),4.8,26820,isa,5,18-Apr-21,Not bad
Apple AirPods with Charging Case (Wired),4.8,26820,Shelby Jones,5,28-Apr-21,"Bought these for my 3 kids for a 10hr drive to Florida(13,12,8) no complaints yet, the live the sound, and i love that I don't have to hear it! Definitely a great buy for the money and to keep my sanity!"
Apple AirPods with Charging Case (Wired),4.8,26820,Mariela,5,28-May-21,Perfect
Apple AirPods with Charging Case (Wired),4.8,26820,Angela,5,2-Jun-21,"Everyone in the family had AirPods except my husband. He finally decided he wanted AirPods, and he is very satisfied with them."
Apple AirPods with Charging Case (Wired),4.8,26820,Ryan Sarkany,5,20-Apr-21,"I really love this product. The sound quality is amazing along with noise cancellation, and other features such as Siri and touch controls. AMAZING PRODUCT"
Apple AirPods with Charging Case (Wired),4.8,26820,Ricardo Beltré,5,12-May-21,They are de second generation I’m so glad with product.
Apple AirPods with Charging Case (Wired),4.8,26820,Robbo,5,17-Apr-21,To date it works perfectly fine
Apple AirPods with Charging Case (Wired),4.8,26820,Gloria P. Poole,3,15-Apr-21,Case not charging
Apple AirPods with Charging Case (Wired),4.8,26820,Thomas B Collins,5,14-May-21,These air pods are simply incredible!!! Not sure why I waited so long and wasted money on cheap imitations.
Apple AirPods with Charging Case (Wired),4.8,26820,Gina sexton,1,16-Apr-21,"If you like throwing money out the window, buy them. They are constantly falling out of your ear. Sorry, can’t work well if they don’t stay put. Waste of money.....literally. I just. Ought my second set last week and I already am down one because they fall CONSTANTLY"
Apple AirPods with Charging Case (Wired),4.8,26820,Kelly,4,2-May-21,I am very happy with my airpods the only problem was my charger that came with it did not work
Apple AirPods with Charging Case (Wired),4.8,26820,Sluggo,5,9-May-21,Great product by Apple
Apple AirPods with Charging Case (Wired),4.8,26820,Kaleigh,5,9-Apr-21,They are great!
Apple AirPods with Charging Case (Wired),4.8,26820,Taylor,5,21-Apr-21,Honestly didn’t think I’d like this but I use them daily! Great quality and long battery life.
Apple AirPods with Charging Case (Wired),4.8,26820,KP3,1,26-Apr-21,"Very, very disappointed. I usually have no issues with Amazon but I excitedly ripped open the Amazon box to quickly discover I received an empty box of AirPods. It was not plastic sealed and the headphones were missing. Very, very disappointed because I have been extremely excited to start using these."
Apple AirPods with Charging Case (Wired),4.8,26820,Angel,5,12-May-21,The best gift I got I love it
Apple AirPods with Charging Case (Wired),4.8,26820,Darlene,5,24-Apr-21,High quality at a great price.
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,20-May-21,"Thought I could share music with my daughter while we went on runs together. Every time I share, I lose sound in mine. We couldn’t figure out how to make sound work for both of us at the same time."
Apple AirPods with Charging Case (Wired),4.8,26820,Cherry,5,19-May-21,I got these in great quality. The sound is great the battery life is pretty decent for the most. The noise cancellation isn’t all that though.
Apple AirPods with Charging Case (Wired),4.8,26820,Eduardo Riz,5,2-May-21,Llevo dos años con uno de estos y funciona como nuevo
Apple AirPods with Charging Case (Wired),4.8,26820,Brianna Smith,1,4-May-21,One side did not work and will not charge
Apple AirPods with Charging Case (Wired),4.8,26820,jolly,5,13-May-21,Good perfect works
Apple AirPods with Charging Case (Wired),4.8,26820,deborah jackson,5,12-Apr-21,I really like the quality of my air buds. And the battery life is phenomenal. And I like how fast they arrived.
